MAPD_PK_BenefitID,Contract_Year,Contract_Number,PBP,Category,CategoryData,Insert_DTS,Update_DTS,Insert_User_ID,UPDATE_User_ID,IsDeleted,CategoryGrp,CategoryOrder,FK_PlanID
DB253F7A-4B25-4097-A2CA-00CF51776D14,2026,H1608,1,Premium,$0.00 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,C5061CB6-EAA5-42EF-9C68-880625656D06
919E4D49-21A9-418C-93F3-00D13DD36163,2026,H3239,23,Limited Network,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,CB49480A-0289-4219-BDCE-354D9A5A483F
5DC9D6E0-04A6-47CC-880B-00D3E9267098,2026,H3931,154,Chiropractic Routine Services,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,35A875F7-5473-4765-9E1F-A7C7DB897734
493EAE2E-62D3-446E-9F48-00D517E0282D,2026,H3239,28,Additional Telehealth Services,In-Network  $0 for PCP  $0 for Specialist  $0 for Urgently Needed Services  $0 for Mental Health - Group Sessions  $0 for Mental Health - Individual Sessions  $0 for Psychiatric Services - Group Sessions  $0 for Psychiatric Services - Individual Sessions,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Additional Telehealth Services,15,13EF0C70-3056-40F5-8E23-2EBF02FEA73C
3E6FD846-A3E7-4A49-862D-00D884219FA4,2026,H9314,1,Home Health Care,In-Network $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Home Health Care,14,47D27AC3-40E1-4367-8BA4-A65AFC2E48A9
8F5248E7-F666-416F-8A4E-00D99010CF06,2026,H5521,81,SNF,"In-Network $10 per day, days 1-20; $218 per day, days 21-100  Out-of-Network 20% per stay",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Facility Services,3,B35D5E48-7C02-48E1-97A8-8D7D7A166436
AD5E3C7F-E3EF-4A39-8241-00DCC31C52E4,2026,H3146,4,Troop,"$2,100 ",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Prescription Drug Coverage,25,28708204-5C8A-48CC-BC23-ABB1CF75425E
D2AB6BD5-6363-400C-8B28-00E132FB0697,2026,H1608,50,Chiropractic Routine Services,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,29F9B442-A0E6-471F-A6FE-A62BF359E630
D79E5895-44AC-43D9-A311-00E57A527775,2026,H5521,652,Fitness,"Fitness benefit that includes a basic membership to any SilverSneakers participating fitness facility. If you do not reside near a participating facility, or prefer to exercise at home, online classes and one at-home fitness kit per year are available through SilverSneakers at no additional cost to you.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Wellness,13,81FEBD09-6F9F-49AF-9562-F3D0E00C9314
0F221A46-53D2-42F2-88C8-00E6C966DB14,2026,H3931,102,Visitor/Traveler Program,See an Aetna HMO participating provider anywhere in the United States and pay in-network cost sharing.,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,7A68642F-E127-4510-B36D-B95574BA53E5
014E4D7B-80CB-45D0-989E-00EC40E175DF,2026,S5601,28,Preventive Benefits,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Preventive Benefits,12,972F81F7-81FD-477B-ACF2-FB813CBE811C
D0814E6F-C95F-4769-B24C-00EE8121607A,2026,H5522,29,Plan Name,Aetna Medicare PinnacleHealth Prime (PPO),54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,E7807A8C-3C77-444F-B39E-12B5CD11EE8E
17472B73-5112-4B94-AD90-00F1C82576FF,2026,H1608,77,Transportation,$0 for 12 one-way trips every year,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,364856D4-9943-4963-9618-C18EFA12A3F7
71C719B4-C62E-4B2A-A253-00F413BB9AE7,2026,H0628,18,Diagnostic Procedures,"In-Network 0% for certain Medicare-covered diagnostic tests and services including Retinal fundus, Spirometry, Peripheral arterial disease (PAD)  20% for other diagnostic procedures and tests",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,CA1E722E-1BB9-4BD4-94A5-97DF4DE4AD70
A933284A-67D2-4753-ACBA-00F4692A923A,2026,H5521,275,Limited Network,This plan offers a local network of select contracted providers. To locate a network provider you may contact Customer Service or search the online provider directory.,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,867242FA-194A-4A4B-AD3D-C19FB1427C6F
